amt,c_first_name,c_last_name,profit,ss_ticket_number,substr
180.06,Mickey,Abel,-12363.91,1222308,Riverside
1489.97,Nancy,Abel,-11665.57,1307198,Midway
1473.01,Robert,Abel,-20485.24,1201672,Pleasant Hill
1255.58,Robert,Abel,-10446.81,2070715,Riverside
1379.12,,Abel,-6732.27,1519643,Midway
0.0,Alberta,Abell,4470.21,1934451,Pleasant Hill
2740.22,Ana,Abell,-5511.21,1241046,Pleasant Hill
1038.6,Barbara,Abell,-2643.89,854702,Midway
1835.87,Barbara,Abell,-6552.97,1658426,Pleasant Hill
913.16,Caroyln,Abell,-12301.48,1148771,Midway
1233.66,Gladys,Abell,-13104.85,1764522,Riverside
1750.14,James,Abell,-9361.33,1149233,Fairview
0.0,Jeanette,Abell,-18639.04,2387053,Riverside
