amt,c_first_name,c_last_name,profit,ss_ticket_number,substr
641.02,Joseph,Aaron,-9908.17,180595,Bethel
8980.54,Joseph,Aaron,-18954.78,23364339,Centerville
586.0,Joseph,Aaron,-18361.66,20012715,Greenwood
430.16,Joseph,Aaron,-14651.26,2802017,Liberty
3000.64,Joseph,Aaron,-11280.65,3022190,Oak Grove
0.0,Joseph,Aaron,-1978.86,3022190,Oak Grove
0.0,Joseph,Aaron,-3411.69,875686,Oakland
2593.39,Josh,Aaron,-5006.16,8764376,Liberty
2645.29,Judy,Aaron,-7556.14,22925697,New Hope
856.23,Julia,Aaron,-6682.14,16536559,Fairview
0.0,Karen,Aaron,-10296.87,6347926,Liberty
0.0,Karen,Aaron,-182.4,6347926,Liberty
67.2,Karen,Aaron,-9925.4,4384432,Midway
0.0,Karen,Aaron,-12546.66,13714358,Mount Pleasant
0.0,Katharine,Aaron,1224.25,5167498,Fairview
904.89,Kathleen,Aaron,-461.4,23950611,Riverside
1721.67,Keith,Aaron,-13052.43,18059225,Midway
133.36,Keith,Aaron,-10838.55,13645832,Oakland
6019.19,Kendra,Aaron,-15884.6,601658,Pleasant Hill
42.62,Kendra,Aaron,-11082.36,9785513,Riverside
664.56,Kenneth,Aaron,-11822.5,7606619,Greenwood
3813.55,Kenneth,Aaron,-8466.0,17737287,New Hope
592.81,Kenneth,Aaron,-18586.57,1423656,Union
1511.5,Kristine,Aaron,-4188.58,22899679,Centerville
3489.74,Kristine,Aaron,-17606.33,19724772,Union
100.16,Latoya,Aaron,-4907.16,10628665,New Hope
5199.62,Lee,Aaron,-11668.8,9278634,Centerville
7546.74,Leonard,Aaron,-17299.58,121336,Riverside
