bought_city,c_first_name,c_last_name,ca_city,extended_price,extended_tax,list_price,ss_ticket_number
Flatwoods,Susan,Acosta,Riverdale,38214.29,2182.12,61486.84,3995448
Macedonia,Paulette,Acosta,Pine Grove,15431.73,438.81,33846.51,6536313
Highland Park,Steven,Acosta,Macedonia,29122.42,1267.53,55657.97,6914941
Gilmore,Cindy,Acosta,Marion,25135.27,1061.16,35708.61,9191570
Clinton,Jerry,Acosta,Deerfield,17027.71,605.43,40331.84,15670627
Springdale,Marcella,Acuna,Crossroads,40492.17,751.2,56091.02,11015143
Redland,Danny,Acuna,Wilton,27794.66,1267.31,53646.22,16471164
Union,Alice,Adair,Lincoln,20031.58,715.56,45414.81,19215512
Glendale,Rhoda,Adam,Five Forks,14519.93,651.21,27830.69,2058163
Union,Tabitha,Adam,Georgetown,43559.84,1684.65,58721.45,20593114
Springdale,Gracie,Adame,Centerville,21065.89,816.69,68131.45,1220402
Concord,Jesse,Adame,Sutton,19281.48,764.79,48261.95,16124611
Centerville,Harriett,Adame,Highland Park,16272.81,680.76,36217.54,18602694
Red Hill,Stephanie,Adams,Fowler,21091.95,922.1,35710.52,722040
Peru,Joseph,Adams,Belmont,11473.55,751.65,28437.52,758179
Riverside,Renee,Adams,Union Hill,30741.14,1506.13,43193.59,762274
Pleasant Hill,Larry,Adams,Gladstone,7122.6,412.54,23006.25,892663
Centerville,Heather,Adams,Edgewood,20548.65,662.56,46797.49,2438166
Jackson,Annie,Adams,Saint Clair,28143.91,1189.78,44966.65,3856183
Cherry Valley,Rafael,Adams,Glendale,10740.88,243.92,18845.12,4668692
Red Hill,Ron,Adams,Hamilton,10521.35,756.38,20933.18,4881562
Pine Grove,Robert,Adams,Watkins,16620.58,401.66,27823.66,5070322
Scottsville,Brooke,Adams,Lincoln,18743.08,531.6,40483.22,5522452
Mount Zion,Katy,Adams,Colonial Heights,24278.78,996.07,33346.06,5601285
Brownsville,Randall,Adams,Pleasant Valley,9495.0,512.65,19388.72,6042904
Hopewell,Jesus,Adams,Webb,29406.55,1071.4,62404.81,7205803
Greenfield,Spencer,Adams,Riverside,16843.7,425.96,32824.95,7672745
Pleasant Grove,Megan,Adams,Arlington,37460.89,1918.1,62075.37,8393968
Antioch,Donald,Adams,Sunnyside,18520.56,291.86,33719.15,9268973
Stringtown,Michelle,Adams,Pleasant Valley,9758.66,304.38,18366.11,9847536
Georgetown,George,Adams,Farmington,35359.09,1399.49,56742.96,10506440
Woodville,Gwendolyn,Adams,Leesburg,17903.21,578.53,44377.52,10576964
Highland,Norman,Adams,Jackson,12485.37,579.47,31578.9,10774652
Oakland,Clarence,Adams,Marion,18723.53,517.2,28295.42,11014267
Harmony,Michael,Adams,Bridgeport,9340.27,363.76,26004.08,11369091
Midway,Isabel,Adams,Sunnyside,47705.08,1242.41,65873.5,12191239
Macedonia,Joseph,Adams,Watkins,8123.6,275.44,31965.0,12528768
Riverside,Kevin,Adams,Valley View,26565.47,877.08,51145.4,12545060
Summit,Christina,Adams,Arlington,18745.3,828.3,41546.17,13469579
Belmont,Barbara,Adams,Springfield,17431.54,631.96,49338.69,13481864
Brownsville,Joy,Adams,Oak Ridge,3765.71,189.09,13381.88,15517154
Macedonia,David,Adams,Greenwood,33908.01,1228.68,59774.65,15936904
Plainview,Raymond,Adams,Concord,20723.03,1257.7,31801.59,16116427
Summit,,Adams,Oakdale,19143.34,1169.9,39143.59,16647710
Riverview,Linda,Adams,Bethel,9439.4,456.36,29175.27,17055819
Hopewell,Bill,Adams,Mountain View,11528.69,354.92,45622.07,17342432
Five Forks,,Adams,Flatwoods,23643.76,891.3,45163.65,17543363
Mountain View,Kenneth,Adams,Lebanon,22582.2,1140.93,50017.71,17854101
Franklin,Robert,Adams,Clinton,24364.6,1017.84,49984.13,18702012
