amt,c_first_name,c_last_name,profit,ss_ticket_number,substr
4666.17,Andrea,Aaron,-9401.21,2278523,Oak Hill
2083.44,Andrea,Aaron,-19012.87,219508674,Woodlawn
0.0,Andrew,Aaron,-744.38,192874062,Buena Vista
2923.24,Andrew,Aaron,-8292.33,169240140,Concord
444.56,Andrew,Aaron,-10748.07,190536610,Oakdale
10029.27,Angel,Aaron,-10346.31,76163304,Cedar Grove
0.0,Angel,Aaron,-1294.38,76163304,Cedar Grove
271.71,Angel,Aaron,-5169.47,109446419,Georgetown
314.89,Angela,Aaron,-1614.94,228980669,Highland
159.94,Ann,Aaron,-14107.03,238907574,Bethel
1590.0,Ann,Aaron,-10171.19,19548118,Bethel
0.0,Ann,Aaron,-16574.3,4403458,Glendale
23.62,Ann,Aaron,-4361.73,123570218,Liberty
134.84,Ann,Aaron,417.86,163116013,Pine Grove
120.42,Ann,Aaron,-13835.17,211211059,Providence
0.0,Anna,Aaron,-1958.45,13939458,Fairfield
677.48,Anna,Aaron,-761.49,190983709,Lakewood
3750.23,Anna,Aaron,-25660.46,95334983,Pleasant Hill
380.04,Anna,Aaron,-22524.83,108763388,Shiloh
37.4,Anna,Aaron,-7724.13,67656921,Woodlawn
176.9,Annabel,Aaron,-4017.38,834135,Riverview
844.69,Anne,Aaron,-11800.79,63520924,Pine Grove
640.41,Annette,Aaron,-12835.56,144185672,Friendship
0.0,Annice,Aaron,-2916.86,170398526,Glenwood
22.6,Annie,Aaron,2114.18,218026922,Glenwood
1038.58,Annie,Aaron,-8088.44,152578608,Lakeside
0.0,Antonia,Aaron,-1626.49,192449485,Friendship
4944.55,Antonia,Aaron,-3607.29,2005683,Glendale
4903.22,Antonia,Aaron,-5476.9,186490776,Stringtown
891.5,Antonio,Aaron,-6613.08,220713670,Bethel
575.6,Antonio,Aaron,-9594.83,107424066,Highland Park
6057.72,April,Aaron,-14030.22,38469350,Pleasant Hill
318.59,April,Aaron,-259.38,62963982,Riverview
1043.75,April,Aaron,-190.61,7090710,Salem
6152.07,Apryl,Aaron,-15032.94,45915341,Mount Pleasant
2697.69,Armand,Aaron,-7301.27,171042282,Providence
2177.24,Armand,Aaron,-2044.37,125694233,Springfield
9291.01,Arnold,Aaron,-6310.57,34238140,Greenville
226.81,Arthur,Aaron,-1132.5,33171995,Midway
465.04,Arthur,Aaron,566.09,234880393,Mount Olive
329.15,Arthur,Aaron,-12005.83,147659694,Spring Valley
4614.32,Ashley,Aaron,-15204.07,98943129,Buena Vista
6060.57,Ashley,Aaron,-1571.56,32742774,Glendale
1244.55,Ashley,Aaron,-2675.88,165703703,Greenville
164.12,Ashley,Aaron,-14996.53,150169501,Greenwood
3707.3,Ashley,Aaron,-3417.79,68227256,Harmony
8269.91,Ashley,Aaron,-13395.33,180119581,Highland
160.92,Ashley,Aaron,-12715.5,211545612,Pleasant Valley
80.48,Ashley,Aaron,-9730.57,18296915,Union
14.49,Ashley,Aaron,5171.6,100616465,Union
