c_first_name,c_last_name,c_preferred_cust_flag,c_salutation,cnt,ss_ticket_number
Ruby,Acevedo,Y,Dr.,15,47609185
Wade,Acevedo,N,Sir,15,37687221
William,Acevedo,N,Dr.,15,114605379
,Acevedo,,,15,78910802
Allen,Acker,Y,Dr.,15,186952813
Annie,Acker,N,Miss,15,235274486
Barbara,Acker,Y,Dr.,16,237381283
Craig,Acker,Y,Dr.,15,168511560
Daniel,Acker,Y,Dr.,16,172013218
Margaret,Acker,Y,Dr.,15,236902156
Melissa,Acker,N,Miss,15,221176552
Darlene,Ackerman,N,Ms.,15,233427667
Darrell,Ackerman,N,Dr.,15,79208277
Dorene,Ackerman,Y,Mrs.,15,98219527
Erica,Ackerman,N,Miss,15,51792239
Isabell,Ackerman,N,Miss,15,118723766
Jeffery,Ackerman,Y,Mr.,15,215155159
John,Ackerman,Y,Mr.,15,161148799
Michael,Ackerman,N,Sir,15,38830740
Mona,Ackerman,N,Miss,16,147431166
Rafael,Ackerman,N,Mr.,15,9536697
Rafaela,Ackerman,Y,Miss,16,140939985
Ralph,Ackerman,N,Dr.,15,96490870
Rima,Ackerman,N,Dr.,15,220661818
Teresa,Ackerman,Y,Miss,15,106942810
Beverly,Ackley,Y,Mrs.,15,58123545
Karen,Ackley,Y,Mrs.,15,205273319
Mabel,Ackley,N,Mrs.,15,202353309
Andrea,Acosta,N,Miss,15,50059460
Archie,Acosta,Y,Sir,15,20908893
Barry,Acosta,N,Sir,15,146208671
Brad,Acosta,N,Dr.,15,114811563
Carl,Acosta,Y,Dr.,15,65501820
Cedric,Acosta,N,Dr.,15,115538244
Christine,Acosta,Y,Dr.,15,176786607
Christy,Acosta,Y,Mrs.,15,126232488
David,Acosta,Y,Sir,15,164052370
Eric,Acosta,Y,Mr.,15,143060972
Gary,Acosta,N,Dr.,15,163533878
Genoveva,Acosta,N,Miss,16,44605767
Gertrude,Acosta,N,Ms.,15,128013703
Lillian,Acosta,Y,Mrs.,15,47047732
Linda,Acosta,Y,Ms.,15,157763633
Marjorie,Acosta,N,Dr.,16,180005244
Mark,Acosta,Y,Sir,15,14854685
Mark,Acosta,N,Sir,15,82096844
Norman,Acosta,N,Sir,16,212888073
Penny,Acosta,N,Dr.,16,149445144
Perry,Acosta,Y,Mr.,15,120275052
Ramon,Acosta,N,Mr.,15,117614346
Richard,Acosta,Y,Mr.,15,115330635
Stephanie,Acosta,Y,Ms.,16,111980241
Stephen,Acosta,Y,Mr.,15,101142095
Troy,Acosta,N,Mr.,15,92728479
Ada,Acuna,N,Dr.,15,105087112
Frank,Acuna,Y,Dr.,15,37852692
Lorraine,Acuna,N,Dr.,15,128711250
Myrtle,Acuna,N,Ms.,16,224762048
Rita,Acuna,N,Dr.,15,162178138
Roy,Acuna,N,Sir,15,22765299
Teresa,Acuna,N,Mrs.,15,10029836
Timothy,Acuna,Y,Mr.,15,12734893
Albert,Adair,N,Ms.,15,14588730
Bessie,Adair,N,Ms.,15,117903271
Betty,Adair,N,Mrs.,15,190873545
Catrice,Adair,N,Dr.,15,93482474
Donald,Adair,Y,Sir,15,234199633
Harold,Adair,Y,Sir,15,43140839
Janet,Adair,Y,Miss,16,92902378
Kimberly,Adair,Y,Mrs.,15,17859321
Kimberly,Adair,N,Ms.,16,221785830
Lori,Adair,N,Dr.,15,92338932
Lori,Adair,N,Dr.,16,174355790
Mathew,Adair,N,Mr.,16,101683290
Rebecca,Adair,N,Miss,15,210441932
Winnie,Adair,N,Miss,16,169600927
Glenn,Adam,N,Mr.,15,27498721
John,Adam,Y,Dr.,16,12961560
Laura,Adam,Y,Mrs.,15,142627905
Lois,Adam,N,Miss,16,55231328
Lonnie,Adam,N,Sir,15,158732976
Loretta,Adam,N,Ms.,15,78743295
Madeleine,Adam,N,Dr.,15,103429811
Matthew,Adam,Y,Mr.,15,71500988
Robert,Adam,Y,Dr.,16,175729575
Robert,Adam,N,Sir,15,52015001
Robyn,Adam,Y,Ms.,16,91919287
Susan,Adam,Y,Ms.,15,58214216
Thomas,Adam,Y,Sir,15,74095210
William,Adam,Y,Mr.,15,147863151
Chase,Adame,Y,Sir,16,238318336
Daniel,Adame,N,Mr.,16,86804783
Ryan,Adame,Y,Dr.,15,156858538
William,Adame,Y,Sir,16,23633537
Adam,Adams,N,Miss,15,203239161
Adrian,Adams,Y,Ms.,16,176964729
Agnes,Adams,Y,Dr.,15,8095799
Albert,Adams,N,Dr.,16,207993684
Alberto,Adams,Y,Mr.,15,39512008
Albina,Adams,Y,Miss,15,33031797
Alexandra,Adams,Y,Ms.,16,152503519
Alfred,Adams,N,Dr.,15,60878193
Alice,Adams,Y,Mrs.,15,4719104
Amanda,Adams,N,Mrs.,15,205552392
Amy,Adams,Y,Ms.,15,48166307
Ana,Adams,N,Dr.,15,24480861
Ann,Adams,Y,Dr.,16,163803761
Ann,Adams,Y,Ms.,15,196930970
Anthony,Adams,Y,Ms.,15,132691190
Anthony,Adams,N,Ms.,16,129390803
Ashley,Adams,Y,Dr.,16,234120305
Ashley,Adams,N,Mrs.,15,37569647
Barbara,Adams,N,Dr.,16,40170053
Barbara,Adams,N,Ms.,15,204484939
Betty,Adams,Y,Dr.,15,86801727
Beverly,Adams,N,Mrs.,16,89657826
Billy,Adams,N,Mr.,15,84365295
Bonnie,Adams,N,Mrs.,15,48856733
Brandon,Adams,N,Mr.,15,6613662
Brian,Adams,Y,Dr.,16,105104209
Brian,Adams,Y,Sir,15,100189541
Bruce,Adams,Y,Dr.,15,109108101
Bryan,Adams,N,Dr.,16,42004105
Candice,Adams,Y,Mrs.,15,80235777
Carl,Adams,Y,Dr.,15,208830753
Caroline,Adams,N,Mrs.,16,123352892
Charles,Adams,Y,Mr.,15,130576803
Charlie,Adams,Y,Sir,15,199836341
Cheryl,Adams,Y,Ms.,15,226122628
Cheryl,Adams,N,Ms.,16,122775966
Chester,Adams,Y,Dr.,15,89369933
Chris,Adams,Y,Dr.,16,149562308
Christopher,Adams,N,Dr.,16,195656699
Christopher,Adams,Y,Mr.,16,155833839
Ciara,Adams,Y,Miss,16,66655272
Clark,Adams,N,Mr.,15,106088567
Corey,Adams,Y,Sir,15,5724352
Craig,Adams,Y,Dr.,15,40802235
Crystal,Adams,N,Ms.,15,67305302
Daniel,Adams,N,Sir,16,60357311
Danielle,Adams,Y,Mrs.,15,87448551
Darla,Adams,N,Ms.,15,146886648
Darlene,Adams,N,Ms.,15,92956665
Darrell,Adams,Y,Sir,15,33200004
Darrell,Adams,Y,Sir,16,230928129
David,Adams,Y,Dr.,15,161799225
David,Adams,N,Dr.,15,108427633
Deborah,Adams,N,Ms.,15,147406905
Debra,Adams,N,Dr.,15,100531620
Delores,Adams,N,Mrs.,15,148357372
Deloris,Adams,N,Dr.,15,177921903
Deloris,Adams,Y,Miss,16,213213284
Demetria,Adams,N,Ms.,15,196562817
Derek,Adams,N,Sir,15,96794438
Diana,Adams,Y,Miss,15,202758125
Donna,Adams,N,Dr.,15,47103917
Donnie,Adams,N,Sir,15,200774869
Dorian,Adams,Y,Sir,16,208267296
Dorothy,Adams,Y,Miss,16,57918579
Dorothy,Adams,N,Ms.,16,105009732
Duane,Adams,Y,Sir,15,234376687
Edward,Adams,N,Dr.,15,62241299
Edward,Adams,Y,Sir,16,200541869
Elias,Adams,N,Mr.,15,196902636
Eliseo,Adams,N,Mr.,15,130694763
Elizabeth,Adams,Y,Mrs.,16,207717053
Eloise,Adams,N,Dr.,15,189468152
Eric,Adams,Y,Dr.,16,99344480
Eric,Adams,Y,Sir,16,90931958
Eric,Adams,Y,Sir,16,195483974
Eugene,Adams,Y,Dr.,15,24040810
Eugene,Adams,Y,Sir,15,3223481
Evangeline,Adams,Y,Ms.,15,5642985
Florence,Adams,N,Miss,16,64104059
Flossie,Adams,N,Miss,15,175261317
Frank,Adams,N,Dr.,15,30591110
Frank,Adams,N,Sir,15,153102625
Fred,Adams,N,Dr.,15,203363596
Fred,Adams,N,Sir,15,205821118
Garry,Adams,N,Mr.,16,134994093
Gary,Adams,N,Dr.,15,59399077
Gary,Adams,N,Sir,15,140557648
George,Adams,Y,Dr.,16,169748354
Grace,Adams,N,Miss,16,15762644
Gregory,Adams,N,Sir,15,33761987
Gregory,Adams,N,Sir,15,128716371
Hallie,Adams,Y,Mrs.,16,139361605
Hector,Adams,Y,Dr.,15,225330343
Helen,Adams,N,Ms.,16,176327111
Holly,Adams,,,16,191408407
Ida,Adams,N,Mrs.,16,79617060
Ira,Adams,N,Mr.,16,222779048
Irene,Adams,Y,Ms.,15,231391235
James,Adams,Y,Mr.,16,172240348
James,Adams,N,Sir,16,194253877
Janet,Adams,N,Dr.,15,12331502
Janet,Adams,N,Dr.,16,156672139
Janet,Adams,Y,Miss,15,95594284
Janet,Adams,N,Ms.,15,214650857
Jennifer,Adams,Y,Mrs.,15,126694717
Jenniffer,Adams,N,Ms.,15,103604658
Jeremy,Adams,Y,Dr.,15,132061830
Jerome,Adams,Y,Sir,15,175335565
Jesse,Adams,N,Dr.,16,81176918
Jesse,Adams,Y,Mr.,16,207523302
Jesus,Adams,Y,Dr.,15,45132790
Jo,Adams,Y,Dr.,15,40912673
Jodi,Adams,N,Dr.,15,75968116
Joette,Adams,Y,Mrs.,15,232186787
John,Adams,N,Dr.,15,2998063
John,Adams,N,Dr.,15,68231187
John,Adams,Y,Mr.,15,109339914
John,Adams,Y,Mr.,15,234690330
John,Adams,N,Mr.,16,41393800
John,Adams,N,Mr.,16,179800720
John,Adams,N,Mr.,15,211543654
John,Adams,Y,Sir,15,38146282
Jose,Adams,Y,Mr.,16,39509042
Joseph,Adams,N,Sir,16,3529769
Joseph,Adams,N,Sir,16,30633934
Joyce,Adams,N,Miss,15,164346333
Judith,Adams,N,Miss,16,12974749
Karen,Adams,Y,Ms.,15,81981536
Karen,Adams,Y,Ms.,15,188736178
Karla,Adams,Y,Mrs.,15,5130772
Katherine,Adams,Y,Miss,16,158870547
Kathy,Adams,Y,Mrs.,15,63377803
Kevin,Adams,Y,Dr.,15,64414005
Kevin,Adams,N,Dr.,15,142223624
Kevin,Adams,N,Mr.,15,4342265
Kevin,Adams,N,Sir,16,148960934
Kimberly,Adams,N,Mrs.,15,12146079
Kirk,Adams,Y,Mr.,16,143582576
Kirsten,Adams,N,Mrs.,15,205321847
Kristen,Adams,Y,Dr.,16,158415383
Krysta,Adams,N,Miss,15,15560833
Laura,Adams,N,Miss,15,95140994
Lawrence,Adams,Y,Mr.,16,128283686
Leo,Adams,N,Dr.,15,29727268
Lesia,Adams,Y,Miss,15,73280859
Leticia,Adams,Y,Dr.,15,208598416
Lily,Adams,Y,Mrs.,15,6406492
Linda,Adams,Y,Ms.,16,101983404
Lois,Adams,N,Miss,16,233194596
Lorrie,Adams,N,Miss,15,39217806
Louise,Adams,N,Mrs.,15,56852283
Madeline,Adams,Y,Miss,15,103152813
Marie,Adams,N,Dr.,16,19448391
Marissa,Adams,N,Dr.,15,69673046
Mark,Adams,Y,Dr.,15,99028343
Martha,Adams,Y,Miss,16,237838538
Martha,Adams,N,Mrs.,15,178493829
Martha,Adams,Y,Ms.,16,57462404
Martha,Adams,Y,Ms.,16,162372972
Marvin,Adams,Y,Sir,15,54743926
Matthew,Adams,N,Mr.,15,229978057
Mercy,Adams,N,Ms.,15,58375629
Michael,Adams,N,Dr.,15,21289702
Michael,Adams,N,Mr.,15,234657477
Michael,Adams,N,Sir,15,108790280
Michael,Adams,N,Sir,15,128079718
Michele,Adams,N,Dr.,15,183814869
Michelle,Adams,Y,Mrs.,15,25157034
Michelle,Adams,Y,Ms.,15,214947365
Mike,Adams,Y,Mr.,15,52333473
Mildred,Adams,Y,Mrs.,15,3326577
Monica,Adams,N,Miss,15,160624922
Morris,Adams,N,Dr.,15,80744069
Nakesha,Adams,Y,Ms.,15,35586043
Natalie,Adams,N,Ms.,16,131952985
Nellie,Adams,N,Ms.,15,54637610
Nicholas,Adams,N,Dr.,15,204608995
Nick,Adams,N,Dr.,15,233623399
Nicole,Adams,N,Mrs.,15,47355976
Odessa,Adams,N,Mrs.,15,43868679
Olga,Adams,N,Ms.,15,90855572
Oscar,Adams,N,Mr.,16,137080499
Pamela,Adams,N,Mrs.,15,202734839
Patrick,Adams,N,Dr.,16,177612856
Patrick,Adams,N,Sir,15,16760544
Patti,Adams,Y,Ms.,15,112920570
Paul,Adams,Y,Mr.,16,109274751
Percy,Adams,N,Sir,15,94103971
Peter,Adams,N,Mr.,16,26301454
Phyllis,Adams,Y,,15,7510470
Raymond,Adams,N,Dr.,15,37585215
Rhonda,Adams,Y,Miss,16,122173004
Richard,Adams,N,Mr.,15,207284478
Richard,Adams,Y,Sir,16,213632863
Rick,Adams,Y,Mr.,16,158656964
Robert,Adams,N,Dr.,15,65803973
Robert,Adams,Y,Mr.,15,1512775
Robert,Adams,N,Sir,15,13233803
Roberta,Adams,N,Ms.,15,90993813
Roman,Adams,Y,Mr.,15,97813870
Ruth,Adams,N,Mrs.,16,212310632
Sam,Adams,,,16,193365645
Samuel,Adams,N,Dr.,15,218004375
Sandi,Adams,N,Mrs.,16,31658627
Sarah,Adams,N,Ms.,16,234346733
Scott,Adams,N,Mr.,15,4862063
Sean,Adams,N,Mr.,15,8826072
Serena,Adams,N,Mrs.,15,236753954
Sharon,Adams,Y,Mrs.,15,74526219
Staci,Adams,N,Miss,15,3074834
Stan,Adams,Y,Dr.,15,85505198
Stephanie,Adams,N,Dr.,16,187107744
Sue,Adams,Y,Miss,16,202322314
Susan,Adams,Y,Dr.,15,128117898
Tamika,Adams,N,Miss,16,214823499
Tanya,Adams,N,Mrs.,15,63539522
Teena,Adams,N,Dr.,15,170687800
Teresa,Adams,Y,Ms.,15,7257285
Terry,Adams,N,Sir,16,233694533
Thomas,Adams,N,Dr.,15,30608333
Thomas,Adams,N,Mr.,15,129565253
Thomas,Adams,N,Mr.,15,158418129
Thomas,Adams,N,Mr.,15,166499421
Thomas,Adams,Y,Sir,15,115768589
Tim,Adams,Y,Dr.,16,219356935
Todd,Adams,N,Dr.,16,138926334
Tommy,Adams,N,Dr.,15,78939115
Van,Adams,N,Mr.,16,179063443
Victoria,Adams,N,Miss,16,79918265
Vilma,Adams,Y,Mrs.,16,19263871
William,Adams,N,Dr.,15,23926817
William,Adams,N,Dr.,15,74731985
William,Adams,N,Dr.,15,166676029
William,Adams,Y,Mr.,16,28766463
William,Adams,N,Mr.,15,158547881
William,Adams,Y,Sir,15,116370481
Zaida,Adams,N,Ms.,15,204097945
,Adams,N,Sir,15,203810272
,Adams,,,15,50971567
,Adams,Y,,15,94292238
Bill,Adamson,Y,Sir,16,172454127
Elena,Adamson,Y,Mrs.,15,61238878
Ezra,Adamson,Y,Dr.,15,31243346
Hope,Adamson,N,Ms.,15,126583848
Jeffrey,Adamson,Y,Sir,16,38188467
John,Adamson,Y,Sir,16,214662929
Lance,Adamson,N,Sir,15,91801806
Laurie,Adamson,Y,Miss,15,81205856
Matthew,Adamson,N,Sir,15,126074333
Robert,Adamson,N,Sir,16,147795926
Cindy,Adcock,Y,Mrs.,16,205064967
David,Adcock,N,Sir,16,133045123
Irene,Adcock,Y,Miss,15,152067746
Alta,Addison,Y,Mrs.,15,15869348
Charles,Addison,N,Sir,15,73499436
Gloria,Addison,Y,Mrs.,15,117392219
Ignacio,Addison,Y,Mr.,15,168399051
Jennie,Addison,N,Mrs.,15,157619952
Julie,Addison,Y,Dr.,16,110722731
Kenneth,Addison,Y,Dr.,16,79891373
Larry,Addison,Y,Sir,15,113628922
Michael,Addison,Y,Dr.,15,116232507
Michael,Addison,N,Sir,15,86669095
Robert,Addison,Y,Mr.,15,58553085
Steven,Addison,N,Dr.,15,44411333
Anthony,Adkins,N,Miss,16,198360588
Antonio,Adkins,N,Dr.,16,162558164
Arthur,Adkins,Y,Dr.,15,31630687
Barbara,Adkins,Y,Dr.,16,22632842
Carolyn,Adkins,Y,,15,135714644
Cecil,Adkins,Y,Mr.,15,180909804
Charles,Adkins,N,Sir,15,70605012
Christina,Adkins,N,Miss,15,176009773
Christine,Adkins,Y,Ms.,15,97773077
David,Adkins,Y,Dr.,15,42762339
David,Adkins,Y,Dr.,15,165724964
David,Adkins,Y,Dr.,16,177333395
David,Adkins,Y,Sir,15,49779460
Edith,Adkins,N,Miss,15,124170110
Elizabeth,Adkins,N,Ms.,15,113973082
Ethel,Adkins,Y,Mrs.,16,121616919
Harold,Adkins,N,Mr.,15,52183770
Jaimie,Adkins,N,Dr.,16,60259305
James,Adkins,N,Dr.,15,114857867
Jane,Adkins,Y,Miss,15,230727711
Janice,Adkins,N,Ms.,15,237770515
Jesus,Adkins,N,Dr.,16,51405202
Joann,Adkins,Y,Miss,15,233942842
John,Adkins,N,Dr.,16,55739216
Joseph,Adkins,N,Dr.,16,87429916
Julie,Adkins,Y,Dr.,16,76591890
Keith,Adkins,N,Dr.,15,188178541
Kelli,Adkins,Y,Miss,15,91117387
Kenneth,Adkins,Y,Mr.,15,18035959
Kristin,Adkins,Y,Mrs.,15,188417402
Larry,Adkins,Y,Dr.,16,238907962
Latoya,Adkins,Y,Dr.,16,35898977
Lee,Adkins,Y,Mr.,15,147936068
Linda,Adkins,Y,Mrs.,16,91028050
Lisa,Adkins,Y,Miss,15,93730590
Matthew,Adkins,Y,Sir,15,88204151
Michaela,Adkins,Y,Dr.,15,150997347
Mildred,Adkins,Y,Mrs.,15,207338147
Nancy,Adkins,N,Miss,15,840709
Peggy,Adkins,Y,Miss,16,10931571
Peter,Adkins,Y,Mr.,15,213444449
Rex,Adkins,Y,Sir,16,235317479
Richard,Adkins,N,Mr.,15,115531076
Robert,Adkins,Y,Dr.,15,104846630
Roseann,Adkins,N,Miss,15,58662091
Samuel,Adkins,Y,Mr.,16,40815801
Stuart,Adkins,N,Dr.,15,53952196
Terry,Adkins,N,Sir,15,201417214
Victor,Adkins,N,Sir,15,213288649
Vincent,Adkins,Y,Dr.,15,57043218
,Adkins,Y,Mr.,15,152280191
Alberta,Adler,N,Ms.,15,128698378
Bernice,Adler,Y,Dr.,16,28392798
Frank,Adler,Y,Sir,15,110778827
Katherine,Adler,Y,Mrs.,15,217188546
Nell,Adler,Y,Miss,15,55383179
Sandra,Adler,Y,Dr.,15,181109210
,Adler,Y,Ms.,15,109707400
,Adler,,,15,209960142
David,Agee,N,Sir,15,139514241
Earl,Agee,Y,Dr.,16,71667255
George,Agee,Y,Sir,15,32385116
Kathleen,Agee,N,Dr.,16,51227336
May,Agee,N,Dr.,16,70479940
Ralph,Agee,Y,Mr.,15,136941516
Cheryle,Agnew,N,Dr.,16,203639076
Freddy,Agnew,N,Mr.,16,146889694
Paula,Agnew,N,Dr.,16,166270590
Sean,Agnew,Y,Dr.,15,234145003
Stacia,Agnew,Y,Miss,15,195642855
Virginia,Agnew,Y,Dr.,15,143627384
Chun,Aguayo,N,Ms.,15,13322108
Juliet,Aguayo,Y,Miss,15,86998693
Rosemary,Aguayo,Y,Dr.,15,167490566
Charles,Aguiar,N,Mr.,15,1899551
Gerald,Aguiar,N,Sir,15,214054651
Reginald,Aguiar,N,Sir,15,54747814
Stephanie,Aguiar,Y,Ms.,16,148052974
Veronica,Aguiar,Y,Ms.,16,127063801
Abraham,Aguilar,N,Sir,15,84392738
Alberto,Aguilar,N,Mr.,15,420708
Arthur,Aguilar,Y,Ms.,16,96790042
Celina,Aguilar,Y,Miss,15,86307453
Christina,Aguilar,Y,Mrs.,16,54038165
David,Aguilar,Y,Dr.,15,128122038
David,Aguilar,N,Sir,15,170423842
Diane,Aguilar,N,Mrs.,15,72839637
Donald,Aguilar,Y,Sir,15,43868010
Edward,Aguilar,Y,Mr.,15,121000142
Edward,Aguilar,N,Mr.,15,152332860
Eileen,Aguilar,Y,Ms.,15,92039667
Felicia,Aguilar,Y,Ms.,15,139025714
Freida,Aguilar,Y,Dr.,16,130317268
George,Aguilar,N,Mr.,15,11784970
Golda,Aguilar,N,Mrs.,15,93917238
Guy,Aguilar,N,Dr.,15,173243204
Haley,Aguilar,Y,Ms.,15,156921619
James,Aguilar,N,Mr.,15,86317302
Janet,Aguilar,Y,Mrs.,15,117987181
Jared,Aguilar,Y,Sir,15,185359571
John,Aguilar,N,Sir,16,173175598
Karl,Aguilar,Y,Sir,16,71250821
Kelsie,Aguilar,Y,Dr.,16,139457869
Kenny,Aguilar,N,Mr.,16,161826712
Kent,Aguilar,Y,Sir,15,173584694
Kevin,Aguilar,N,Dr.,16,46463368
Kevin,Aguilar,N,Mr.,15,217273891
Kimberly,Aguilar,N,Miss,16,239163382
Kimberly,Aguilar,Y,Mrs.,15,35994514
Laura,Aguilar,N,Mrs.,15,197912645
Lawrence,Aguilar,N,Mr.,16,68645433
Lisa,Aguilar,Y,Mrs.,15,2350771
Louis,Aguilar,N,Mr.,15,154458418
Lucille,Aguilar,N,Dr.,15,164056417
Margaret,Aguilar,N,Dr.,15,169533792
Margaret,Aguilar,Y,Ms.,15,211992516
Marie,Aguilar,Y,Dr.,15,100255512
Marilyn,Aguilar,Y,Miss,15,12707228
Mark,Aguilar,Y,Mr.,15,136168650
Matthew,Aguilar,Y,Mr.,15,36205066
Miguel,Aguilar,N,Sir,15,27724846
Pamela,Aguilar,Y,Mrs.,16,48669450
Phillip,Aguilar,N,Dr.,15,171554581
Robert,Aguilar,N,Dr.,15,226234888
Ronald,Aguilar,Y,Dr.,15,129104913
Ronald,Aguilar,N,Sir,15,104126996
Russell,Aguilar,N,Dr.,15,115396692
Ruth,Aguilar,N,Mrs.,16,180690669
Sylvester,Aguilar,Y,Sir,16,238918336
Thomas,Aguilar,N,Dr.,15,117864574
Tyler,Aguilar,Y,Mr.,15,58270791
Vicki,Aguilar,Y,Dr.,15,171655718
Wilbert,Aguilar,N,Mr.,15,119526158
William,Aguilar,Y,Mr.,15,127491275
William,Aguilar,N,Sir,15,73629968
Willow,Aguilar,N,Dr.,15,4876384
,Aguilar,,Dr.,16,34924535
,Aguilar,,Miss,15,221923151
Alan,Aguilera,N,Sir,15,19265861
Benjamin,Aguilera,Y,Mr.,15,115638321
