amt,bought_city,c_first_name,c_last_name,ca_city,profit,ss_ticket_number
1309.44,Woodland,Emma,Aaron,New Hope,-7178.14,115661725
1909.04,Five Points,Eric,Aaron,Jackson,-9228.94,103844887
767.75,Five Forks,Estella,Aaron,Spring Hill,-3898.59,129102492
0.0,Lakewood,Fernando,Aaron,Ashland,-10529.27,237841291
2.13,Bethel,Francis,Aaron,Brownsville,693.5,1247441
1613.43,Fayetteville,Francis,Aaron,Lakeside,-3818.7,151616069
402.24,Woodland,Garry,Aaron,Edgewood,-8025.1,66269063
2783.76,Crossroads,Heather,Aaron,Springfield,-12276.85,119684002
565.86,New Hope,Henry,Aaron,Summerfield,-2820.43,131034242
405.22,Hamilton,Irene,Aaron,Harmony,-2646.98,1963691
3644.87,Centerville,Jacqueline,Aaron,Macedonia,-10336.93,102039059
7343.32,Antioch,Jacques,Aaron,Mount Olive,-12384.97,53797972
1051.37,Valley View,James,Aaron,Maple Grove,-9678.35,85491216
4070.85,Maple Grove,James,Aaron,Milan,-13823.01,21055406
1024.98,Longwood,Jeremy,Aaron,Sulphur Springs,-18410.9,1336149
570.06,Sunnyside,Joanne,Aaron,Walnut,-4464.75,210682530
3819.75,Mountain View,John,Aaron,Five Forks,-6515.92,102819479
14.49,Montpelier,John,Aaron,Lakewood,-1441.5,136773590
2866.63,Farmington,John,Aaron,Mount Pleasant,-3064.06,124546832
2760.83,Clifton,John,Aaron,Oakdale,-12737.73,171471422
560.51,Riverdale,John,Aaron,White Oak,-6194.68,76886644
5676.9,Five Forks,Juan,Aaron,Walnut Grove,-13623.3,7085609
1634.43,Midway,Judy,Aaron,Brownsville,-7549.89,115084189
38.88,Belmont,Junior,Aaron,Franklin,2970.17,36430291
932.78,Macedonia,Keith,Aaron,Shiloh,-11380.28,221481407
820.0,Oak Ridge,Kenneth,Aaron,Johnsonville,3143.06,57261989
501.51,Waterloo,Kerry,Aaron,Forest Hills,-13238.88,140262978
1386.55,Kingston,Kimberly,Aaron,Newtown,-12125.15,229821109
2107.77,Clifton,Kristin,Aaron,Clearwater,-2436.58,89331693
10657.22,Spring Hill,Kristin,Aaron,Clearwater,-18467.0,188813451
135.88,Riverside,Lee,Aaron,Buena Vista,-8937.02,177999021
8960.38,Pine Grove,Librada,Aaron,Walnut Grove,-3046.39,8161920
2389.18,Edgewood,Lisa,Aaron,Lakewood,-12053.48,78583622
5900.96,White Oak,Lloyd,Aaron,Newtown,-6574.14,234809824
11080.31,Fairview,Lori,Aaron,Oak Hill,-8698.73,111193939
2203.71,Red Hill,Louann,Aaron,Elkton,-5486.35,90893493
2167.46,Sulphur Springs,Mable,Aaron,Riverdale,-2879.26,13044530
1446.1,White Oak,Marlene,Aaron,Springfield,-2765.75,124788413
1620.14,New Hope,Martha,Aaron,Brownsville,-12999.32,227071379
1234.52,Franklin,Megan,Aaron,Shiloh,-13676.78,207717827
0.0,Green Acres,Melvin,Aaron,Lakeside,-9014.65,54486728
5261.14,Greenfield,Michael,Aaron,Newtown,-15821.27,186620717
2092.01,Hamilton,Mildred,Aaron,Sunnyside,-5981.08,210388072
2008.36,Clinton,Ralph,Aaron,Riverdale,-770.14,17360504
8294.84,Wilson,Ramonita,Aaron,Five Forks,-17924.26,198510673
1333.43,Walnut Grove,Rebecca,Aaron,Highland Park,-21966.89,190136098
0.0,Highland Park,Richard,Aaron,Pleasant Grove,2163.77,165704414
3056.42,Georgetown,Robert,Aaron,Deerfield,-12813.89,177829355
7795.83,Glenwood,Robert,Aaron,Jackson,-14002.32,1042768
1414.19,Macedonia,Robert,Aaron,Newport,-4779.98,51640932
55.37,Clinton,Robert,Aaron,Oakwood,-3330.83,74644452
1695.36,Providence,Rodney,Aaron,Green Acres,-7149.49,125880422
3901.09,Liberty,Roger,Aaron,Carpenter,-7796.69,184866915
863.85,Pleasant Valley,Roosevelt,Aaron,Salem,-6116.81,51925478
3332.14,Sheffield,Roy,Aaron,Fairview,-9511.46,21506274
1553.92,Marion,Ruby,Aaron,New Hope,-10982.86,138273916
215.22,Spring Valley,Sandra,Aaron,Providence,760.28,30215108
8845.57,Arlington,Sharolyn,Aaron,Greenfield,-14450.64,111894433
89.24,Oak Ridge,Shawn,Aaron,Pine Grove,-9489.92,216536585
5558.74,Belmont,Shawn,Aaron,Plainview,-17310.11,40050855
