c_first_name,c_last_name,c_preferred_cust_flag,c_salutation,cnt,ss_ticket_number
Gregory,Sparks,Y,Mr.,5,110131690
Darryl,Springer,Y,Dr.,5,63040578
Katy,Stanton,Y,Dr.,5,85015018
Jason,Stapleton,N,Mr.,5,179046937
Teresa,Stark,Y,Mrs.,5,23788828
William,Stclair,N,Dr.,5,73434399
John,Stegall,N,Sir,5,227155819
Betty,Stewart,N,Mrs.,5,87327371
Kiesha,Stone,Y,Dr.,5,102487395
Wallace,Stoner,N,Dr.,5,215328011
Catherine,Stubbs,Y,Dr.,5,232626644
Donna,Summers,Y,Ms.,5,106360971
Beth,Taylor,Y,Mrs.,5,81766185
Peggy,Thames,N,Dr.,5,22064832
William,Thompson,N,Dr.,5,161962226
Terrence,Thompson,Y,Sir,5,137183186
Sharell,Thompson,Y,Ms.,5,88506618
Luis,Toney,N,Dr.,5,188506565
Paula,Torres,Y,Miss,5,13809112
,Tran,,Mr.,5,45874687
Kathy,Travis,N,Ms.,5,132988769
John,Turner,N,Mr.,5,100005684
Madeleine,Tuttle,Y,Dr.,5,206998654
Joseph,Vargas,Y,Sir,5,125786011
Rene,Vickery,N,Mr.,5,79657254
Lisa,Voss,N,Dr.,5,158594385
Queen,Waddell,Y,Dr.,5,179220726
Gustavo,Wade,Y,Sir,5,182288608
Nancy,Walker,N,Ms.,5,29685654
William,Walker,Y,Sir,5,138971850
Patsy,Wallace,Y,Miss,5,15380856
Ronald,Walters,Y,Mr.,5,205102763
Jose,Walters,Y,Mr.,5,34153847
Alice,Wampler,Y,Ms.,5,147365983
Katy,Ward,Y,Dr.,5,117786927
,Welch,Y,,5,158091299
James,Wells,Y,Dr.,5,129648016
Dianna,Wentz,Y,Miss,5,65373235
Nancy,West,N,Dr.,5,170154306
Tamara,Wheeler,N,Ms.,5,157458125
Sarah,Wheeler,N,Mrs.,5,15690178
Mattie,White,Y,Mrs.,5,89188615
Orlando,White,N,Dr.,5,201826440
Essie,Wilkins,N,Miss,5,224422276
Janet,Will,Y,Mrs.,5,225161863
Thelma,Williams,N,Miss,5,173244147
Juan,Williams,Y,Sir,5,15079314
Steven,Williams,Y,Mr.,5,162203164
Christopher,Williams,Y,Mr.,5,50266647
Thomas,Williams,Y,Dr.,5,236154654
Nicholas,Williams,Y,Mr.,5,87093433
Donald,Williams,Y,Dr.,5,206099957
Marcelina,Willis,Y,Dr.,5,168093645
Cameron,Wilson,N,Dr.,5,5495082
Terry,Winslow,Y,Dr.,5,30087035
Mark,Witt,Y,Dr.,5,104149524
Tyrone,Wolf,Y,Mr.,5,185627537
James,Wolfe,N,Dr.,5,64346300
Joetta,Young,Y,Mrs.,5,152285901
Norman,Zamora,N,Mr.,5,147713221
,,,Miss,5,92465063
Ernesto,,,Dr.,5,228518587
Jacqueline,,,Ms.,5,138941841
,,,Ms.,5,118630620
Elsie,,Y,,5,111190330
,,,,5,105912774
,,,Sir,5,120410502
Michael,,,,5,160364647
,,,,5,97120676
,,,Mrs.,5,207542443
Harold,,N,,5,130759022
Earl,Abrams,Y,Mr.,4,88906658
Oscar,Adkins,Y,Sir,4,236989730
Richard,Anderson,Y,Dr.,4,212777764
Edward,Archuleta,Y,Mr.,4,151289779
Rochelle,Baca,N,Dr.,4,77766707
Felipe,Bailey,Y,Dr.,4,172237954
Timothy,Boyd,Y,Dr.,4,52465371
Robert,Castillo,N,Sir,4,76032004
Arturo,Castillo,Y,,4,97220579
Joshua,Collins,N,Dr.,4,221072330
Shelia,Dean,N,Miss,4,169061709
Thomas,Freed,Y,Dr.,4,39374821
Sherry,Gipson,N,Mrs.,4,148101084
Linda,Gooden,N,Miss,4,189365872
Earl,Gutierrez,Y,Mr.,4,161807788
Alma,Guzman,Y,Mrs.,4,196938426
Stephen,Hamilton,N,Mr.,4,237077779
Gloria,Houle,N,Miss,4,92320176
Nita,Johnston,Y,Ms.,4,74476730
Lorraine,King,N,Miss,4,119535344
Irene,Kohler,N,Dr.,4,225683307
Christopher,Lambert,Y,Dr.,4,201571173
Amanda,Lee,N,Dr.,4,235939672
Roxanne,Low,N,Dr.,4,109149614
Melissa,Loyd,Y,Ms.,4,13476261
Jose,Lundgren,N,Sir,4,206014277
Cindy,Martinez,Y,Miss,4,84554208
Katina,Mcgill,Y,Miss,4,26260693
Joyce,Nolan,N,Dr.,4,3539991
James,Parker,N,Sir,4,175352826
Paul,Petersen,N,Dr.,4,58859419
Robert,Pina,Y,Mr.,4,174778556
Frank,Ramirez,Y,Mr.,4,233198564
Robert,Robbins,Y,Dr.,4,198596732
Frank,Roberts,Y,Mr.,4,39152822
Scott,Robinson,Y,Mr.,4,63366021
Betsy,Sledge,N,Miss,4,222814949
Jeffery,Stephenson,N,Dr.,4,66100480
Michael,Stewart,N,Dr.,4,190108816
Christopher,Straub,N,Dr.,4,10121021
Sadie,Stubbs,Y,Ms.,4,179568891
Miriam,Taylor,N,Miss,4,88614587
Daniel,Tyler,N,Dr.,4,180023185
Henry,Vanburen,N,Sir,4,177956259
Odelia,Wall,N,Miss,4,119176670
William,Weaver,Y,Dr.,4,142139575
Charles,West,N,Sir,4,228766005
Kari,Whitaker,Y,Ms.,4,35624886
Joseph,Whitley,Y,Sir,4,155088432
Jamal,Winchester,Y,Sir,4,19975957
Ron,,,Mr.,4,77539125
Diane,Booth,Y,Mrs.,3,231604144
Shanna,Holland,N,Ms.,3,18923536
Janet,Rushing,Y,Dr.,3,219599663
