bought_city,c_first_name,c_last_name,ca_city,extended_price,extended_tax,list_price,ss_ticket_number
Woodrow,Cynthia,Abraham,Mount Pleasant,35255.52,1431.83,74825.21,28537996
Spring Valley,Kristen,Abraham,Lawrenceville,10433.64,358.99,26618.89,36471477
Franklin,Margaret,Abraham,Valley View,25289.12,668.42,49922.4,55138131
Watkins,Howard,Abraham,Harmony,18911.75,982.19,56230.51,77352288
Union,Peter,Abraham,Carpenter,21906.66,789.99,47131.49,83592920
California,John,Abraham,Superior,28823.16,2127.15,53020.76,129862293
Plainview,Bruce,Abraham,Woodland,15430.93,309.8,41019.64,135887774
Freeport,William,Abraham,Montague,18970.66,631.31,55137.12,193037401
Lakewood,Donna,Abraham,Providence,19126.5,1049.52,27478.68,209109607
Salem,Barbara,Abrams,Waterloo,28704.77,1027.88,40848.54,2262733
Oak Grove,Pablo,Abrams,Newtown,36467.57,1832.91,53930.17,2579128
Montague,Robert,Abrams,Newport,22930.92,596.61,43423.05,5338069
Mount Vernon,Irving,Abrams,Shady Grove,23203.64,1340.3,41785.58,6583521
Springdale,Steve,Abrams,Pleasant Valley,8860.95,559.1,22034.87,15606773
